wavelength	absorbance_1	absorbance_2	absorbance_3	absorbance_4	absorbance_5	absorbance_6	absorbance_7	absorbance_8	absorbance_9	absorbance_10	absorbance_11
380.8	1.461	1.437	1.492	1.466	1.403	1.382	1.502	1.415	1.409	1.100	1.647
381.7	1.477	1.448	1.508	1.476	1.414	1.403	1.504	1.443	1.413	1.113	1.617
382.5	1.501	1.487	1.541	1.510	1.464	1.440	1.561	1.493	1.462	1.143	1.637
383.4	1.534	1.493	1.585	1.530	1.486	1.471	1.579	1.502	1.471	1.150	1.609
384.3	1.568	1.543	1.641	1.578	1.534	1.521	1.657	1.541	1.528	1.176	1.655
385.2	1.606	1.585	1.674	1.609	1.567	1.565	1.688	1.575	1.555	1.195	1.699
386.1	1.648	1.635	1.709	1.677	1.614	1.601	1.760	1.618	1.609	1.229	1.772
386.9	1.684	1.671	1.736	1.705	1.642	1.628	1.777	1.655	1.635	1.245	1.861
387.8	1.739	1.716	1.785	1.759	1.691	1.681	1.837	1.693	1.666	1.263	1.897
388.7	1.784	1.775	1.817	1.785	1.740	1.724	1.853	1.746	1.714	1.277	1.914
389.6	1.835	1.820	1.858	1.829	1.788	1.777	1.898	1.787	1.766	1.287	1.911
390.5	1.866	1.861	1.900	1.874	1.826	1.804	1.930	1.832	1.808	1.298	1.969
391.3	1.914	1.899	1.952	1.900	1.850	1.853	1.959	1.857	1.833	1.301	2.074
392.2	1.951	1.925	1.996	1.946	1.893	1.883	1.991	1.880	1.853	1.300	2.154
393.1	1.989	1.953	2.018	1.964	1.916	1.923	2.011	1.911	1.893	1.292	2.230
394.0	2.001	1.975	2.035	1.999	1.952	1.952	2.042	1.958	1.931	1.287	2.264
394.8	2.026	1.997	2.054	2.002	1.961	1.963	2.079	1.977	1.953	1.281	2.242
395.7	2.048	2.015	2.066	2.027	1.992	1.991	2.108	2.000	1.959	1.270	2.219
396.6	2.071	2.025	2.100	2.035	1.991	1.995	2.132	1.995	1.957	1.255	2.195
397.5	2.089	2.036	2.119	2.068	2.009	2.019	2.151	2.014	1.974	1.241	2.236
398.4	2.101	2.048	2.148	2.064	1.998	2.031	2.164	2.016	1.987	1.229	2.303
399.2	2.113	2.067	2.152	2.102	2.022	2.053	2.189	2.026	2.004	1.216	2.262
400.1	2.105	2.100	2.150	2.098	2.033	2.057	2.175	2.027	2.012	1.205	2.249
401.0	2.120	2.108	2.161	2.114	2.049	2.052	2.180	2.038	2.015	1.196	2.195
401.9	2.127	2.114	2.176	2.107	2.050	2.054	2.190	2.046	2.016	1.186	2.248
402.8	2.143	2.106	2.189	2.106	2.055	2.066	2.200	2.053	2.014	1.170	2.262
403.6	2.140	2.096	2.192	2.102	2.060	2.076	2.198	2.035	2.012	1.154	2.268
404.5	2.126	2.097	2.179	2.095	2.056	2.076	2.194	2.030	2.003	1.138	2.250
405.4	2.128	2.077	2.176	2.104	2.053	2.068	2.204	2.032	1.997	1.126	2.236
406.3	2.115	2.080	2.172	2.093	2.035	2.051	2.201	2.050	1.996	1.114	2.252
407.2	2.141	2.097	2.191	2.106	2.036	2.065	2.218	2.041	2.003	1.103	2.254
408.0	2.142	2.104	2.193	2.100	2.026	2.065	2.203	2.045	2.011	1.092	2.291
408.9	2.161	2.124	2.204	2.107	2.046	2.066	2.217	2.049	2.015	1.082	2.321
409.8	2.162	2.104	2.197	2.101	2.055	2.047	2.204	2.070	2.014	1.072	2.342
410.7	2.178	2.115	2.206	2.108	2.073	2.053	2.213	2.060	2.014	1.064	2.323
411.5	2.192	2.106	2.213	2.116	2.080	2.063	2.224	2.063	2.025	1.057	2.298
412.4	2.195	2.111	2.221	2.113	2.087	2.080	2.241	2.071	2.046	1.052	2.353
413.3	2.202	2.128	2.232	2.118	2.091	2.094	2.264	2.084	2.052	1.044	2.356
414.2	2.195	2.130	2.236	2.130	2.098	2.105	2.266	2.074	2.054	1.038	2.392
415.1	2.203	2.132	2.234	2.144	2.091	2.104	2.266	2.065	2.034	1.031	2.332
415.9	2.197	2.135	2.228	2.136	2.092	2.104	2.256	2.070	2.037	1.026	2.348
416.8	2.188	2.141	2.224	2.128	2.087	2.096	2.272	2.076	2.031	1.020	2.349
417.7	2.181	2.141	2.238	2.125	2.096	2.105	2.282	2.086	2.035	1.014	2.372
418.6	2.185	2.128	2.228	2.125	2.098	2.097	2.308	2.087	2.024	1.009	2.339
419.5	2.202	2.128	2.230	2.119	2.091	2.100	2.305	2.082	2.026	1.003	2.328
420.3	2.204	2.136	2.226	2.111	2.079	2.100	2.280	2.073	2.022	0.999	2.311
421.2	2.210	2.141	2.251	2.119	2.077	2.102	2.263	2.062	2.022	0.994	2.344
422.1	2.218	2.145	2.250	2.127	2.089	2.101	2.256	2.061	2.019	0.991	2.354
423.0	2.225	2.137	2.246	2.133	2.088	2.077	2.269	2.072	2.024	0.986	2.330
423.8	2.219	2.132	2.237	2.123	2.096	2.067	2.268	2.088	2.026	0.983	2.329
424.7	2.207	2.124	2.243	2.118	2.093	2.060	2.250	2.095	2.021	0.979	2.301
425.6	2.213	2.118	2.249	2.110	2.090	2.059	2.246	2.075	2.020	0.974	2.310
426.5	2.215	2.120	2.239	2.111	2.074	2.057	2.236	2.058	2.014	0.969	2.331
427.4	2.219	2.117	2.228	2.105	2.068	2.046	2.247	2.045	2.020	0.964	2.348
428.2	2.194	2.126	2.214	2.104	2.074	2.043	2.249	2.063	2.012	0.958	2.351
429.1	2.186	2.120	2.212	2.087	2.094	2.037	2.265	2.053	2.012	0.953	2.329
430.0	2.182	2.128	2.211	2.081	2.100	2.032	2.270	2.064	2.016	0.945	2.304
430.9	2.196	2.125	2.216	2.064	2.090	2.026	2.276	2.041	2.017	0.937	2.343
431.8	2.195	2.102	2.207	2.052	2.072	2.010	2.259	2.048	2.006	0.929	2.340
432.6	2.189	2.086	2.214	2.037	2.066	2.000	2.258	2.032	1.987	0.920	2.389
433.5	2.178	2.068	2.208	2.032	2.064	1.975	2.249	2.022	1.972	0.910	2.340
434.4	2.177	2.070	2.215	2.030	2.050	1.958	2.246	1.996	1.966	0.898	2.344
435.3	2.174	2.071	2.199	2.032	2.040	1.939	2.224	1.989	1.962	0.888	2.325
436.1	2.150	2.063	2.172	2.010	2.040	1.920	2.215	1.988	1.955	0.877	2.321
437.0	2.140	2.055	2.169	2.004	2.046	1.901	2.230	1.995	1.937	0.867	2.291
437.9	2.129	2.036	2.145	1.966	2.035	1.878	2.242	1.979	1.931	0.853	2.265
438.8	2.146	2.026	2.145	1.948	2.014	1.872	2.244	1.975	1.921	0.842	2.299
439.7	2.136	2.002	2.104	1.918	1.991	1.848	2.210	1.952	1.911	0.829	2.278
440.5	2.122	1.982	2.111	1.902	1.972	1.826	2.183	1.940	1.886	0.819	2.255
441.4	2.095	1.954	2.099	1.884	1.974	1.786	2.156	1.928	1.875	0.807	2.230
442.3	2.077	1.938	2.100	1.860	1.972	1.757	2.145	1.924	1.867	0.796	2.226
443.2	2.064	1.923	2.064	1.844	1.971	1.735	2.146	1.920	1.858	0.785	2.217
444.1	2.073	1.929	2.064	1.830	1.962	1.719	2.155	1.901	1.845	0.774	2.216
444.9	2.065	1.920	2.049	1.808	1.943	1.686	2.152	1.898	1.838	0.762	2.257
445.8	2.064	1.911	2.055	1.791	1.929	1.653	2.152	1.883	1.827	0.751	2.267
446.7	2.053	1.898	2.034	1.761	1.918	1.626	2.128	1.872	1.814	0.741	2.233
447.6	2.048	1.889	2.010	1.754	1.905	1.608	2.132	1.855	1.794	0.732	2.228
448.4	2.043	1.880	1.995	1.737	1.894	1.590	2.122	1.848	1.783	0.724	2.237
449.3	2.025	1.866	1.987	1.735	1.879	1.569	2.114	1.845	1.776	0.714	2.313
450.2	2.016	1.848	1.990	1.719	1.877	1.544	2.091	1.829	1.768	0.704	2.246
451.1	1.993	1.825	1.969	1.699	1.860	1.514	2.075	1.806	1.758	0.696	2.245
452.0	1.978	1.802	1.949	1.670	1.837	1.483	2.077	1.790	1.742	0.690	2.177
452.8	1.975	1.781	1.927	1.650	1.819	1.461	2.066	1.784	1.736	0.683	2.227
453.7	1.971	1.783	1.921	1.633	1.816	1.443	2.057	1.782	1.718	0.676	2.195
454.6	1.962	1.770	1.909	1.615	1.817	1.425	2.042	1.772	1.705	0.668	2.196
455.5	1.945	1.763	1.899	1.601	1.800	1.409	2.045	1.753	1.684	0.661	2.124
456.4	1.944	1.741	1.879	1.588	1.777	1.393	2.041	1.736	1.669	0.654	2.107
457.2	1.925	1.722	1.872	1.575	1.750	1.379	2.036	1.727	1.658	0.650	2.079
458.1	1.920	1.708	1.864	1.559	1.743	1.363	2.011	1.718	1.651	0.645	2.103
459.0	1.910	1.696	1.863	1.545	1.748	1.348	2.003	1.717	1.651	0.640	2.114
459.9	1.916	1.687	1.847	1.535	1.751	1.333	2.001	1.707	1.636	0.633	2.174
460.7	1.903	1.680	1.836	1.519	1.747	1.316	2.000	1.692	1.613	0.625	2.184
461.6	1.899	1.659	1.825	1.498	1.718	1.297	1.993	1.685	1.602	0.618	2.161
462.5	1.891	1.640	1.813	1.477	1.695	1.280	1.972	1.665	1.586	0.610	2.112
463.4	1.881	1.618	1.789	1.455	1.673	1.262	1.968	1.661	1.576	0.604	2.069
464.3	1.860	1.601	1.772	1.432	1.658	1.246	1.948	1.645	1.556	0.597	2.082
465.1	1.851	1.580	1.755	1.413	1.650	1.223	1.944	1.630	1.544	0.591	2.058
466.0	1.848	1.561	1.744	1.393	1.635	1.205	1.944	1.605	1.515	0.581	2.130
466.9	1.838	1.533	1.726	1.367	1.618	1.180	1.949	1.581	1.492	0.570	2.092
