Date_Time,zR,zI_Tsoil_surf,zI_CO2_amb,zI_Tsoil_10cm,zI_Rsoil_quadratic,zI_Rsoil_quadratic_IC95inf,zI_Rsoil_quadratic_IC95sup,zI_Rsoil_linear,zI_Rsoil_linear_IC95inf,zI_Rsoil_linear_IC95sup,zI_STD_slope,zI_delta.T
21/08/2013 17:30,1,21.21,400.75,21.29,4.181,4.017,4.345,3.449,3.3,3.598,2.096,-0.08
21/08/2013 18:00,2,21.09171429,416.712,21.29657143,4.365,4.207571429,4.522428571,3.506828571,3.337457143,3.6762,2.1834,-0.204857143
21/08/2013 18:30,3,20.98885714,420.2725714,21.31028571,3.924085714,3.789628571,4.058028571,3.405342857,3.283457143,3.526714286,1.917342857,-0.321428571
21/08/2013 19:00,4,20.91941176,416.9361765,21.33147059,3.801264706,3.668823529,3.933088235,3.369705882,3.262176471,3.476617647,1.780911765,-0.412058824
21/08/2013 19:30,5,20.86485714,421.2937143,21.36285714,4.254085714,4.101,4.406914286,3.484971429,3.331514286,3.638171429,1.9982,-0.498
21/08/2013 20:00,6,20.83514286,428.7897143,21.39542857,3.727742857,3.592771429,3.861828571,3.389942857,3.296142857,3.482742857,1.855971429,-0.560285714
21/08/2013 20:30,7,20.72371429,431.4125714,21.36114286,3.418314286,3.291057143,3.545542857,3.284514286,3.214714286,3.353314286,1.608257143,-0.637428571
21/08/2013 21:00,8,20.75411765,457.3270588,21.47088235,3.744911765,3.589764706,3.900911765,3.362882353,3.256352941,3.470117647,2.203029412,-0.716764706
21/08/2013 21:30,9,20.58857143,470.8728571,21.37571429,3.493,3.318,3.668285714,3.281285714,3.181142857,3.381714286,2.415571429,-0.787142857
21/08/2013 22:00,10,20.39428571,482.5214286,21.32428571,3.457571429,3.275428571,3.639714286,3.248142857,3.147428571,3.348857143,2.357857143,-0.93
21/08/2013 22:30,11,20.23823529,488.6579412,21.32882353,3.746794118,3.595558824,3.898029412,3.333617647,3.222882353,3.444794118,2.015529412,-1.090588235
21/08/2013 23:00,12,20.094,487.39,21.32742857,3.9256,3.802028571,4.049171429,3.403371429,3.291342857,3.5164,1.783914286,-1.233428571
21/08/2013 23:30,13,19.92391304,484.9395652,21.29391304,3.649478261,3.502043478,3.796913043,3.315913043,3.220565217,3.412173913,1.95273913,-1.37
22/08/2013 0:00,14,19.79347826,488.2873913,21.26347826,3.396869565,3.26726087,3.526478261,3.245478261,3.168391304,3.323043478,1.641434783,-1.47
22/08/2013 0:30,15,19.66304348,491.6352174,21.23304348,3.14426087,3.032478261,3.256043478,3.175043478,3.116217391,3.233913043,1.330130435,-1.57
22/08/2013 1:00,16,19.704,493.7288571,21.22228571,3.873457143,3.756514286,3.9904,3.428742857,3.322371429,3.535114286,1.6608,-1.518285714
22/08/2013 1:30,17,19.78470588,491.7394118,21.20705882,3.926176471,3.794882353,4.056823529,3.484,3.378529412,3.588823529,2.015176471,-1.422352941
22/08/2013 2:00,18,19.83542857,480.5162857,21.17942857,3.754828571,3.607571429,3.9016,3.4432,3.348771429,3.536628571,2.0744,-1.344
22/08/2013 2:30,19,19.85742857,478.256,21.14514286,3.881571429,3.740428571,4.022342857,3.493257143,3.390485714,3.595028571,2.039771429,-1.287714286
22/08/2013 3:00,20,19.84647059,489.9964706,21.11294118,4.130411765,4.002411765,4.257882353,3.616705882,3.501588235,3.730823529,2.116352941,-1.266470588
22/08/2013 3:30,21,19.75514286,491.4857143,21.08542857,3.678857143,3.5106,3.848114286,3.529914286,3.429,3.629942857,2.185742857,-1.330285714
22/08/2013 4:00,22,19.64371429,507.1285714,21.05114286,2.500285714,2.3226,2.678971429,3.056771429,2.919,3.194514286,2.356314286,-1.407428571
22/08/2013 4:30,23,19.68142857,497.384,21.02514286,3.364971429,3.232542857,3.497571429,3.297857143,3.2152,3.381342857,1.826742857,-1.343714286
22/08/2013 5:00,24,19.69705882,504.2388235,21.01294118,3.955058824,3.824294118,4.085823529,3.452647059,3.342823529,3.562764706,1.920705882,-1.315882353
22/08/2013 5:30,25,19.72285714,502.3228571,20.99857143,3.875,3.759857143,3.990714286,3.393285714,3.290714286,3.495857143,1.785428571,-1.275714286
22/08/2013 6:00,26,19.93852941,474.4064706,20.97676471,3.802382353,3.675794118,3.929970588,3.415823529,3.321117647,3.510088235,1.827352941,-1.038235294
22/08/2013 6:30,27,20.33771429,435.444,20.95371429,4.056942857,3.908628571,4.205628571,3.508942857,3.384342857,3.633171429,1.9052,-0.616
22/08/2013 7:00,28,20.69771429,412.8291429,20.93314286,4.202142857,4.078171429,4.325285714,3.424428571,3.274285714,3.5754,1.506971429,-0.235428571
