,Rsoil,RsoilMOD,,,,,
1,3.449,3.587246988,,,,,
2,3.506828571,3.586176695,,,,,
3,3.405342857,3.627213581,,,,,
4,3.369705882,3.616620527,,,,,
5,3.484971429,3.61651549,,,,,
6,3.389942857,3.607771124,,,,,
7,3.284514286,3.629732302,,,,,
8,3.362882353,3.617338323,,,,,
9,3.281285714,3.625807302,,,,,
10,3.248142857,3.690545979,,,,,
11,3.333617647,3.695603365,,,,,
12,3.403371429,3.684728286,,,,,
13,3.315913043,3.372487093,,,,,
14,3.245478261,3.699913282,,,,,
15,3.175043478,3.716340866,,,,,
16,3.428742857,3.72430645,,,,,
17,3.484,3.724970035,,,,,
18,3.4432,3.714409944,,,,,
19,3.493257143,3.731316542,,,,,
20,3.616705882,3.73671987,,,,,
21,3.529914286,3.742904463,,,,,
22,3.056771429,3.743346153,,,,,
23,3.297857143,3.762057473,,,$Dim.1,,
24,3.452647059,3.762586458,,,$Dim.1$quanti,,
25,3.393285714,3.772407056,,,,correlation,p.value
26,3.415823529,3.54266952,,,ETo,0.83565154,0.00E+00
27,3.508942857,3.683443225,,,Ta,0.83130243,0.00E+00
28,3.424428571,3.669049799,,,Tsoil_surf,0.68640787,0.00E+00
29,3.359852941,3.634572402,,,GPP,0.65371747,0.00E+00
30,3.535441176,3.612352264,,,Ws,0.64909674,0.00E+00
31,3.431114286,3.678429299,,,Rain,-0.06836047,6.32E-04
32,3.3642,3.690898788,,,Tsoil_10cm,-0.16777402,3.24E-17
33,3.453,3.70308764,,,SWC15cm,-0.16839193,2.47E-17
34,3.511342857,3.705690718,,,Ca26m,-0.5351718,5.32E-185
35,3.364058824,3.743921119,,,Rh,-0.56603506,1.88E-211
36,3.151057143,3.700244243,,,CO2_amb,-0.72405562,0.00E+00
37,3.136485714,3.734181845,,,,,
38,3.121914286,3.559150389,,,,,
39,3.269352941,3.580294807,,,$Dim.2,,
40,3.424571429,3.768112899,,,$Dim.2$quanti,,
41,3.530428571,3.718878908,,,,correlation,p.value
42,3.488117647,3.78343269,,,SWC15cm,0.64633952,0.00E+00
43,3.2652,3.838537295,,,Rain,0.49421198,0.00E+00
44,3.247485714,3.824418886,,,ETo,0.12453653,4.29E-10
45,3.412057143,3.844380682,,,Ws,0.09623819,1.46E-06
46,3.449294118,3.829344076,,,GPP,0.0858861,1.73E-05
47,3.487314286,3.67401019,,,Ca26m,0.06658191,8.73E-04
48,3.661,3.699477149,,,Ta,-0.06708063,7.98E-04
49,3.814257143,3.645389722,,,Rh,-0.33796415,9.74E-68
50,3.826485714,3.763013486,,,Tsoil_surf,-0.42395405,1.88E-109
51,3.876323529,3.765043565,,,Tsoil_10cm,-0.65049755,2.74E-300
52,3.919558824,3.82870857,,,,,
53,3.718,3.856598004,,,,,
54,3.833714286,3.844327443,,,$Dim.3,,
55,3.498617647,3.843586854,,,$Dim.3$quanti,,
56,3.394285714,3.719847004,,,,correlation,p.value
57,3.769428571,3.707186446,,,Rain,0.61178233,0.00E+00
58,3.954029412,3.851961688,,,Tsoil_10cm,0.48324907,0.00E+00
59,3.785428571,3.847336359,,,Tsoil_surf,0.42620521,0.00E+00
60,3.768285714,3.712136471,,,SWC15cm,0.42529656,0.00E+00
61,3.640768551,3.718830367,,,Rh,0.11045046,3.16E-08
62,3.496270725,3.673973289,,,GPP,0.06461897,1.24E-03
63,3.412621629,3.72736952,,,Ta,-0.09003651,6.63E-06
64,3.477547235,3.722374388,,,ETo,-0.18321116,2.79E-20
65,3.600692257,3.715445283,,,Ws,-0.20849682,6.47E-26
66,3.480299771,3.859440556,,,Ca26m,-0.21320134,4.76E-27
67,3.515497486,3.686705327,,,CO2_amb,-0.23675539,3.85E-33
68,3.597496588,3.86939102,,,,,
69,3.457501457,3.882200564,,,,,
70,3.459545824,3.885300157,,,,,
71,3.416114571,3.878995345,,,,,
72,3.332183429,3.872347494,,,,,
73,3.436927,3.877878927,,,,,
74,3.297836,3.908056245,,,,,
75,3.478586,3.895333447,,,,,
76,3.111873314,3.887349405,,,,,
77,3.509129147,3.864600587,,,,,
78,3.888408771,3.795851211,,,,,
79,3.860592771,3.843073446,,,,,
80,3.732128206,3.785564112,,,,,
81,3.825978429,3.742545392,,,,,
82,3.779512714,3.826144048,,,,,
83,3.625061824,3.870912359,,,,,
84,3.602566371,3.872538579,,,,,
85,3.641400257,3.80224538,,,,,
86,3.779423765,3.624665902,,,,,
87,3.791555429,3.685297896,,,,,
88,3.442159714,3.773922809,,,,,
89,3.502884,3.838341409,,,,,
90,3.962963118,3.80963403,,,,,
91,3.818255514,3.774925802,,,,,
92,3.0506246,3.738418793,,,,,
93,2.586012529,3.189796386,,,,,
94,2.524099971,2.981625278,,,,,
95,2.370983529,2.628355406,,,,,
96,2.226606886,1.63008748,,,,,
97,2.145625743,1.664746682,,,,,
98,2.2972982,1.677066732,,,,,
99,2.288319441,1.769819693,,,,,
100,2.462421029,1.868867976,,,,,
101,2.556358,1.997725101,,,,,
102,2.440959029,2.08852674,,,,,
103,2.457568571,2.096261045,,,,,
104,2.677892,2.171487194,,,,,
105,2.622190824,2.221362746,,,,,
106,2.5277628,2.368896556,,,,,
107,2.641653,2.332663656,,,,,
108,2.746771824,2.261998953,,,,,
109,2.792120686,2.297509853,,,,,
110,2.8798574,2.502875423,,,,,
111,2.963415765,2.55909383,,,,,
112,2.988477235,2.591648113,,,,,
113,2.9314872,2.432285189,,,,,
114,2.958293629,2.50209563,,,,,
115,2.943663647,2.525598158,,,,,
116,2.8718312,2.704693796,,,,,
117,2.815495559,2.73478421,,,,,
118,2.829584286,2.742399237,,,,,
119,2.863174,2.767991866,,,,,
120,3.050185429,2.791653232,,,,,
121,3.142344441,2.796159985,,,,,
122,3.0425484,2.81879102,,,,,
123,3.021246971,2.788277786,,,,,
124,3.016600118,2.760648087,,,,,
125,2.9084398,2.794661913,,,,,
126,3.112582371,2.697524381,,,,,
127,3.162552943,2.763013138,,,,,
128,3.230535441,2.698459812,,,,,
129,3.5699874,2.784128253,,,,,
130,3.592485,2.737306234,,,,,
131,3.4871106,2.840094252,,,,,
132,3.497069057,2.830351181,,,,,
133,3.404047941,2.817349206,,,,,
134,3.286275,2.750749221,,,,,
135,3.220473,2.828221277,,,,,
136,3.427212429,3.004124235,,,,,
137,3.362852059,3.00326378,,,,,
138,3.244246343,2.776239717,,,,,
139,3.3136535,2.990495846,,,,,
140,3.5223604,3.021332984,,,,,
141,3.653118743,3.065543164,,,,,
142,3.675989886,3.110989413,,,,,
143,3.775152206,3.153392565,,,,,
144,3.632224086,3.069892527,,,,,
145,3.514212314,3.083317866,,,,,
146,3.444023706,3.113904803,,,,,
147,3.342287857,3.135890692,,,,,
148,3.249674714,3.147130662,,,,,
149,3.305547571,3.162148705,,,,,
150,3.249354559,3.154317203,,,,,
151,3.211682143,3.166817538,,,,,
152,3.275485824,3.155541256,,,,,
153,3.251464286,3.029842185,,,,,
154,3.183644971,3.163585675,,,,,
155,3.239985824,2.98935669,,,,,
156,3.269126229,3.180270378,,,,,
157,3.266084657,3.063700773,,,,,
158,3.263043086,3.185643151,,,,,
159,3.248150059,3.188081795,,,,,
160,3.146842771,3.194970981,,,,,
161,3.103103457,3.216441528,,,,,
162,3.187837706,3.015035338,,,,,
163,3.228344514,3.063492077,,,,,
164,3.310023371,3.230983268,,,,,
165,3.286014824,3.251180798,,,,,
166,3.134232429,3.277066847,,,,,
167,3.059200714,3.297282382,,,,,
168,3.152641059,3.195403331,,,,,
169,3.353223886,3.253862396,,,,,
170,3.470218571,3.237909334,,,,,
