Time,Rsoil,Ta,Rh,Ws,Rain,ETo,Ca26m,CO2_amb,Reco,GPP,SWC15cm,Tsoil_surf,Tsoil_10cm
17.50,3.449,21.572176,86.28500666,0.383486202,0,0.035453951,NA,400.75,10.43853,8.05113,58.19505443,21.21,21.29
18.00,3.506828571,20.789368,88.99490471,0.85342367,0,0.047007777,NA,416.712,9.82793,9.02567,58.20970564,21.09171429,21.29657143
18.50,3.405342857,20.393986,92.65882965,0.973324044,0,0.045812266,384.2337719,420.2725714,9.52419,9.08222,58.13651084,20.98885714,21.31028571
19.00,3.369705882,20.54515,91.11238634,0.569149108,0,0.031190808,385.4734118,416.9361765,9.62838,7.73798,58.17727877,20.91941176,21.33147059
19.50,3.484971429,20.796076,89.33112832,0.408010548,0,0.025575902,NA,421.2937143,9.80816,7.18226,58.13651084,20.86485714,21.36285714
20.00,3.389942857,20.85208,89.39859497,0.132232188,0.3,0.023777577,NA,428.7897143,9.84209,7.12238,58.10826796,20.83514286,21.39542857
20.50,3.284514286,20.75107,89.91182244,0.416003192,0,0.026042731,NA,431.4125714,9.7578,7.23299,58.10826796,20.72371429,21.36114286
21.00,3.362882353,20.55997,90.86971943,0.15133525,0.5,0.024073576,NA,457.3270588,9.60692,7.15852,58.06330729,20.75411765,21.47088235
21.50,3.281285714,20.472532,90.71554786,0.367897332,0.4,0.023194591,NA,470.8728571,9.53401,6.98735,58.11767222,20.58857143,21.37571429
22.00,3.248142857,20.146258,92.22616923,0.251275442,0,0.019824194,NA,482.5214286,9.28678,6.71745,58.06330729,20.39428571,21.32428571
22.50,3.333617647,19.934176,92.16668013,0.315934432,0,0.024417737,NA,488.6579412,9.12558,7.17004,58.04971413,20.23823529,21.32882353
23.00,3.403371429,19.851496,91.54800883,0.736491074,0,0.030208082,NA,487.39,9.05854,7.61598,58.03400073,20.094,21.32742857
23.50,3.315913043,19.948996,89.76762662,0.724341398,0,0.024278034,423.7291381,484.9395652,9.12075,6.93223,58.09049129,19.92391304,21.29391304
24.00,3.245478261,19.995328,89.70210598,0.81458542,0,0.025882936,NA,488.2873913,9.1463,7.05503,57.9712573,19.79347826,21.26347826
0.00,3.175043478,20.020756,89.36478062,0.50639721,0,0.023293966,NA,491.6352174,9.15681,6.90061,57.95660278,19.66304348,21.23304348
0.50,3.428742857,20.307172,89.04819339,0.374422158,0,0.022230168,NA,493.7288571,9.35645,6.8289,57.93882309,19.704,21.22228571
1.00,3.484,20.295706,89.45344613,0.229140318,0,0.022293965,NA,491.7394118,9.34012,6.90771,57.95660278,19.78470588,21.20705882
1.50,3.4432,20.42152,89.15852497,0.413688968,0,0.027738724,NA,480.5162857,9.42397,7.35656,57.94406714,19.83542857,21.17942857
2.00,3.493257143,20.383612,89.65643564,0.174091786,0,0.022757483,NA,478.256,9.38823,6.97044,57.91163294,19.85742857,21.14514286
2.50,3.616705882,20.213572,90.45110317,0.42984568,0,0.024743655,NA,489.9964706,9.25669,7.08218,57.91163294,19.84647059,21.11294118
3.00,3.529914286,19.951102,91.18368641,0.218533458,0,0.021416053,NA,491.4857143,9.06026,6.84133,57.93882309,19.75514286,21.08542857
3.50,3.056771429,20.210296,89.59474303,0.469101776,0,0.023847634,NA,507.1285714,9.23851,6.94461,57.95241701,19.64371429,21.05114286
4.00,3.297857143,20.448586,88.21279412,0.37343647,0,0.022317934,NA,497.384,9.40351,6.78707,57.84781896,19.68142857,21.02514286
4.50,3.452647059,20.4457,88.12914691,0.428581428,0,0.025833204,NA,504.2388235,9.39334,7.11144,57.86247431,19.69705882,21.01294118
5.00,3.393285714,20.253352,89.23339027,0.383946904,0,0.023306068,NA,502.3228571,9.24582,6.90541,57.83527954,19.72285714,20.99857143
5.50,3.415823529,20.492578,88.18697592,0.550742456,0,0.0512709,410.8458186,474.4064706,9.41138,9.40162,57.84993406,19.93852941,20.97676471
6.00,3.508942857,20.55139,89.01205839,1.01965138,0,0.122305998,NA,435.444,9.44622,14.23628,57.84469161,20.33771429,20.95371429
6.50,3.424428571,20.681338,88.21793633,0.838081222,0,0.156512588,NA,412.8291429,9.53327,15.90109,57.83003626,20.69771429,20.93314286
7.00,3.359852941,21.10636,86.39941088,1.388095126,0,0.321598887,384.6728686,398.0394118,9.84017,21.26294,57.76828153,20.91529412,20.89970588
7.50,3.535441176,21.31306,85.27647972,1.814801604,0,0.413306114,384.0727225,393.8217647,9.98707,23.14629,57.74214606,21.97411765,20.89088235
8.00,3.431114286,21.878092,81.7958257,1.112048916,0,0.387281801,380.0892537,394.4722857,10.41036,22.42329,57.69191779,22.44257143,20.89771429
8.50,3.3642,22.10749,80.69157979,1.343407032,0,0.31693197,377.7398407,389.4722857,10.57975,20.97257,57.74630733,22.74485714,20.91257143
9.00,3.453,22.470424,78.73420024,1.768484982,0,0.354577764,375.6135147,386.405,10.85631,21.82374,57.64168467,22.905,20.935
9.50,3.511342857,22.781722,75.69562236,1.91614533,0,0.429619235,373.934021,386.2682857,11.0954,23.19361,57.56318707,23.21371429,20.97971429
10.00,3.364058824,22.898332,76.21532169,1.59472533,0.1,0.344566725,371.8079006,385.23,11.17966,21.51555,57.54539631,23.64352941,21.04176471
10.50,3.151057143,23.254714,75.82606885,1.956012124,0,0.475173278,371.2324698,383.0982857,11.45955,23.91687,57.57259416,23.62828571,21.08857143
11.00,3.136485714,23.306818,77.87539286,2.473444754,0,0.409750707,368.1172094,383.6854286,11.49228,22.98332,57.52654272,23.91542857,21.15285714
11.50,3.121914286,23.016034,79.90163077,3.86914682,0,0.428942176,NA,384.2725714,11.24561,23.6963,57.42083118,24.20257143,21.21714286
12.00,3.269352941,23.050432,80.10196025,3.476950136,0,0.354424543,NA,378.87,11.26367,22.17788,57.40616755,23.89294118,21.27941176
12.50,3.424571429,23.101912,80.21288139,2.724484488,0,0.360468973,366.5404405,375.8442857,11.29557,22.20576,57.35803663,23.85428571,21.35714286
13.00,3.530428571,23.148322,79.14267447,2.832985166,0,0.451223287,366.9627944,376.1785714,11.32337,23.91957,57.41244155,23.70428571,21.44285714
13.50,3.488117647,22.68625,89.69687356,2.834667264,0,0.334327003,366.5635058,377.8941176,10.94257,22.05678,57.26590688,23.42823529,21.52058824
